idxSin;cov;incDate;decDate;cloDate;accYear;pay;eval
S00127004;TTG;2018-01-05;2018-01-05;2018-01-16;2018;1882.59;1882.59
S00127023;TTG;2018-01-05;2018-01-05;2018-11-08;2018;844.19;844.19
S00127038;TTG;2018-01-05;2018-01-06;2018-04-11;2018;4222.15;4222.15
S00127059;TTG;2018-01-05;2018-01-05;2018-01-20;2018;1807.59;1807.59
S00127077;TTG;2018-01-05;2018-01-05;2018-04-04;2018;2584.15;2584.15
S00127090;TTG;2018-01-05;2018-01-06;2018-06-06;2018;1887.38;1887.38
S00127115;TTG;2018-01-05;2018-01-05;2018-01-05;2018;1875.67;1875.67
S00127132;TTG;2018-01-05;2018-01-07;2018-02-14;2018;1097.19;1097.19
S00127149;TTG;2018-01-05;2019-02-03;2019-03-05;2019;1113.57;1113.57
S00127170;TTG;2018-01-05;2018-01-05;2018-02-08;2018;1675.26;1675.26
S00127185;TTG;2018-01-05;2018-02-03;2018-02-27;2018;333.61;333.61
S00127196;TTG;2018-01-05;2018-01-05;2018-04-01;2018;1268.13;1268.13
S00127210;TTG;2018-01-05;2018-01-05;2018-07-06;2018;351.03;351.03
S00127226;TTG;2018-01-05;2018-01-06;2018-02-03;2018;8729.86;8729.86
S00127243;TTG;2018-01-05;2018-01-07;2018-01-25;2018;0.0;0.0
S00127264;TTG;2018-01-05;2018-01-06;2018-05-31;2018;2515.79;2515.79
S00127286;TTG;2018-01-05;2018-01-05;2018-01-31;2018;3490.55;3490.55
S00127302;TTG;2018-01-05;2018-01-06;2018-03-13;2018;2010.85;2010.85
S00127319;TTG;2018-01-05;2018-02-04;2018-07-30;2018;5379.06;5379.06
S00127328;TTG;2018-01-06;2018-01-08;2018-04-02;2018;1375.33;1375.33
S00127343;TTG;2018-01-06;2018-01-06;2018-01-30;2018;7314.87;7314.87
S00127367;TTG;2018-01-06;2018-01-13;2018-06-30;2018;1388.15;1388.15
S00127384;TTG;2018-01-06;2018-01-20;2018-05-22;2018;770.21;770.21
S00127401;TTG;2018-01-06;2018-01-06;2018-02-19;2018;1898.58;1898.58
S00127413;TTG;2018-01-06;2018-01-06;2018-01-21;2018;9311.69;9311.69
S00127429;TTG;2018-01-06;2018-01-08;2018-01-22;2018;2125.44;2125.44
S00127442;TTG;2018-01-06;2018-01-06;2018-06-23;2018;2033.38;2033.38
S00127460;TTG;2018-01-06;2018-01-06;2018-01-06;2018;5762.49;5762.49
S00127473;TTG;2018-01-06;2018-01-12;2018-01-12;2018;11444.27;11444.27
S00127490;TTG;2018-01-06;2018-01-07;2018-02-04;2018;4737.09;4737.09
S00127510;TTG;2018-01-06;2018-01-06;2018-01-15;2018;1286.92;1286.92
S00127523;TTG;2018-01-06;2018-01-07;2018-01-14;2018;2265.33;2265.33
S00127542;TTG;2018-01-06;2018-01-09;2018-01-16;2018;0.0;0.0
S00127557;TTG;2018-01-06;2018-06-15;2018-07-04;2018;24334.58;24334.58
S00127581;TTG;2018-01-06;2018-01-11;2018-02-08;2018;0.0;0.0
S00127600;TTG;2018-01-06;2018-01-06;2018-12-05;2018;4178.81;4178.81
S00127617;TTG;2018-01-06;2018-01-09;2018-04-08;2018;9636.89;9636.89
S00127637;TTG;2018-01-06;2018-01-07;2018-08-03;2018;896.18;896.18
S00127651;TTG;2018-01-06;2018-01-11;2018-02-17;2018;1143.83;1143.83
S00127669;TTG;2018-01-06;2018-01-06;2018-03-08;2018;6049.36;6049.36
S00127685;TTG;2018-01-07;2018-01-07;2018-03-01;2018;3263.86;3263.86
S00127701;TTG;2018-01-07;2018-01-07;2018-02-18;2018;349.59;349.59
S00127712;TTG;2018-01-07;2018-01-14;2018-02-21;2018;430.33;430.33
S00127731;TTG;2018-01-07;2018-01-13;2018-04-29;2018;1075.38;1075.38
S00127742;TTG;2018-01-07;2018-01-13;2018-07-01;2018;3184.55;3184.55
S00127760;TTG;2018-01-07;2018-01-07;2018-01-07;2018;5134.14;5134.14
S00127778;TTG;2018-01-07;2018-01-10;2018-02-11;2018;2395.15;2395.15
S00127799;TTG;2018-01-07;2018-01-09;2018-02-18;2018;426.22;426.22
S00127808;TTG;2018-01-08;2018-01-08;2018-02-05;2018;2585.02;2585.02
S00127825;TTG;2018-01-08;2018-01-14;2018-03-13;2018;1015.8;1015.8
S00127847;TTG;2018-01-08;2018-01-08;2018-01-08;2018;6686.53;6686.53
S00127868;TTG;2018-01-08;2018-01-12;2018-08-10;2018;228.3;228.3
S00127887;TTG;2018-01-08;2018-01-13;2018-02-08;2018;205.0;205.0
S00127906;TTG;2018-01-08;2018-01-08;2018-01-08;2018;6040.22;6040.22
S00127917;TTG;2018-01-08;2018-01-08;2018-03-28;2018;1167.26;1167.26
S00127930;TTG;2018-01-08;2018-01-08;2018-01-28;2018;422.08;422.08
S00127949;TTG;2018-01-08;2018-01-11;2018-06-20;2018;914.41;914.41
S00127973;TTG;2018-01-08;2018-01-11;2018-03-08;2018;205.0;205.0
S00127993;TTG;2018-01-08;2018-01-09;2018-02-02;2018;1237.94;1237.94
S00128009;TTG;2018-01-08;2018-01-08;2018-01-27;2018;180.81;180.81
S00128027;TTG;2018-01-08;2018-01-08;2018-02-16;2018;1511.45;1511.45
S00128040;TTG;2018-01-08;2018-01-08;2018-01-17;2018;3102.23;3102.23
S00128054;TTG;2018-01-08;2018-01-13;2018-03-04;2018;2587.51;2587.51
S00128070;TTG;2018-01-08;2018-01-08;2018-01-31;2018;0.0;0.0
S00128088;TTG;2018-01-09;2018-01-12;2018-06-24;2018;901.56;901.56
S00128107;TTG;2018-01-09;2018-01-09;2018-04-24;2018;3543.5;3543.5
S00128126;TTG;2018-01-09;2018-01-11;2018-01-29;2018;2809.03;2809.03
S00128140;TTG;2018-01-09;2018-01-09;2018-04-03;2018;0.0;0.0
S00128165;TTG;2018-01-09;2018-01-09;2018-06-16;2018;0.0;0.0
S00128182;TTG;2018-01-09;2018-01-09;2018-03-08;2018;219.09;219.09
S00128195;TTG;2018-01-09;2018-01-09;2018-01-26;2018;1938.43;1938.43
S00128216;TTG;2018-01-09;2018-01-09;2018-02-12;2018;1670.67;1670.67
S00128234;TTG;2018-01-09;2018-02-09;2018-02-24;2018;692.0;692.0
S00128247;TTG;2018-01-09;2018-01-10;2018-08-06;2018;3151.32;3151.32
S00128263;TTG;2018-01-09;2018-01-09;2018-06-10;2018;1115.39;1115.39
S00128284;TTG;2018-01-09;2018-01-13;2018-02-07;2018;1760.72;1760.72
S00128307;TTG;2018-01-09;2018-01-14;2018-02-04;2018;205.0;205.0
S00128329;TTG;2018-01-09;2018-01-10;2018-03-31;2018;479.11;479.11
S00128336;TTG;2018-01-09;2018-01-25;2018-03-12;2018;1451.42;1451.42
S00128354;TTG;2018-01-09;2018-01-09;2018-01-24;2018;8475.6;8475.6
S00128369;TTG;2018-01-09;2018-01-09;2018-05-07;2018;1219.44;1219.44
S00128385;TTG;2018-01-09;2018-01-09;2018-02-14;2018;6017.15;6017.15
S00128405;TTG;2018-01-09;2018-01-10;2018-02-19;2018;3610.48;3610.48
S00128427;TTG;2018-01-09;2018-01-09;2018-01-23;2018;6041.49;6041.49
S00128441;TTG;2018-01-09;2018-01-10;2018-03-17;2018;245.92;245.92
S00128458;TTG;2018-01-10;2018-01-26;2018-03-20;2018;1063.48;1063.48
S00128479;TTG;2018-01-10;2018-01-10;2018-03-02;2018;812.91;812.91
S00128494;TTG;2018-01-10;2018-01-11;2018-08-17;2018;465.21;465.21
S00128518;TTG;2018-01-10;2018-01-10;2018-03-02;2018;472.62;472.62
S00128539;TTG;2018-01-10;2018-01-10;2018-05-16;2018;4273.26;4273.26
S00128563;TTG;2018-01-10;2018-01-15;2018-02-19;2018;0.0;0.0
S00128579;TTG;2018-01-10;2018-01-14;2018-09-13;2018;6430.66;6430.66
S00128594;TTG;2018-01-10;2018-01-11;2018-04-11;2018;4258.51;4258.51
S00128609;TTG;2018-01-10;2018-01-11;2018-08-14;2018;4454.51;4454.51
S00128629;TTG;2018-01-10;2018-01-10;2018-02-07;2018;205.0;205.0
S00128647;TTG;2018-01-10;2018-01-10;2018-08-01;2018;1694.83;1694.83
S00128666;TTG;2018-01-10;2018-01-10;2018-02-05;2018;382.58;382.58
S00128686;TTG;2018-01-10;2018-01-12;2018-04-01;2018;6156.17;6156.17
S00128712;TTG;2018-01-10;2018-01-10;2018-08-13;2018;1221.7;1221.7
S00128735;TTG;2018-01-10;2018-01-13;2018-01-21;2018;1186.21;1186.21
S00128749;TTG;2018-01-10;2018-01-10;2018-03-26;2018;6192.47;6192.47
S00128762;TTG;2018-01-10;2018-01-13;2018-02-13;2018;4619.09;4619.09
S00128783;TTG;2018-01-10;2018-01-10;2018-03-08;2018;1272.0;1272.0
S00128799;TTG;2018-01-10;2018-01-10;2018-03-18;2018;205.0;205.0
S00128814;TTG;2018-01-10;2018-02-16;2018-05-05;2018;0.0;0.0
S00128828;TTG;2018-01-10;2018-01-10;2018-03-16;2018;366.27;366.27
S00128840;TTG;2018-01-11;2018-02-02;2018-03-09;2018;1147.37;1147.37
S00128861;TTG;2018-01-11;2018-01-11;2018-02-10;2018;9685.82;9685.82
S00128872;TTG;2018-01-11;2018-01-12;2018-03-25;2018;3836.41;3836.41
S00128893;TTG;2018-01-11;2018-01-18;2018-02-22;2018;3219.75;3219.75
S00128906;TTG;2018-01-11;2018-01-12;;2018;0.0;1600.0
S00128906;TTG;2018-01-11;2018-01-12;2019-06-09;2019;1275.29;1275.29
S00128919;TTG;2018-01-11;2018-01-14;2018-01-30;2018;1232.81;1232.81
S00128934;TTG;2018-01-11;2018-01-30;2018-12-16;2018;0.0;0.0
S00128955;TTG;2018-01-11;2018-01-15;2018-04-24;2018;38775.34;38775.34
S00128968;TTG;2018-01-11;2018-01-11;2018-05-02;2018;4879.39;4879.39
S00128984;TTG;2018-01-11;2018-01-12;2018-01-12;2018;2761.65;2761.65
S00128999;TTG;2018-01-11;2018-01-11;2018-05-08;2018;919.72;919.72
S00129018;TTG;2018-01-11;2018-01-11;2018-01-22;2018;179.24;179.24
S00129029;TTG;2018-01-11;2018-01-16;2018-02-03;2018;4759.2;4759.2
S00129048;TTG;2018-01-11;2018-01-11;2018-02-09;2018;3015.05;3015.05
S00129066;TTG;2018-01-11;2018-01-11;2018-01-28;2018;478.75;478.75
S00129083;TTG;2018-01-11;2018-01-13;2018-04-18;2018;10474.08;10474.08
S00129103;TTG;2018-01-11;2018-01-15;2018-06-11;2018;2677.51;2677.51
S00129123;TTG;2018-01-11;2018-01-16;2018-08-01;2018;1346.35;1346.35
S00129137;TTG;2018-01-11;2018-01-11;2018-06-25;2018;836.76;836.76
S00129152;TTG;2018-01-11;2018-01-14;2018-04-24;2018;1294.09;1294.09
S00129170;TTG;2018-01-11;2018-01-23;2018-02-03;2018;2237.43;2237.43
S00129188;TTG;2018-01-12;2018-01-27;2018-03-02;2018;2896.48;2896.48
S00129208;TTG;2018-01-12;2018-01-23;2018-08-06;2018;36365.16;36365.16
S00129227;TTG;2018-01-12;2018-01-12;2018-03-24;2018;8589.26;8589.26
S00129240;TTG;2018-01-12;2018-01-14;2018-03-06;2018;3733.93;3733.93
S00129252;TTG;2018-01-12;2018-02-03;2018-02-17;2018;2266.38;2266.38
S00129273;TTG;2018-01-12;2018-01-17;2018-03-16;2018;197.77;197.77
S00129290;TTG;2018-01-12;2018-01-15;2018-02-24;2018;1074.47;1074.47
S00129299;TTG;2018-01-12;2018-01-13;2018-07-16;2018;8747.06;8747.06
S00129318;TTG;2018-01-12;2018-01-15;2018-03-18;2018;2067.56;2067.56
S00129328;TTG;2018-01-12;2018-01-26;2018-04-25;2018;205.0;205.0
S00129347;TTG;2018-01-12;2018-01-16;2018-02-04;2018;0.0;0.0
S00129357;TTG;2018-01-12;2018-01-14;2018-08-28;2018;1884.31;1884.31
S00129371;TTG;2018-01-12;2018-01-12;2018-07-10;2018;1009.8;1009.8
S00129381;TTG;2018-01-12;2018-01-12;2018-02-12;2018;511.13;511.13
S00129395;TTG;2018-01-12;2018-01-12;2018-02-04;2018;9329.65;9329.65
S00129411;TTG;2018-01-12;2018-01-13;2018-04-14;2018;3575.74;3575.74
S00129425;TTG;2018-01-12;2018-01-12;2018-07-30;2018;824.01;824.01
S00129440;TTG;2018-01-12;2018-01-15;2018-03-18;2018;0.0;0.0
S00129453;TTG;2018-01-13;2018-01-25;2018-03-25;2018;189.92;189.92
S00129471;TTG;2018-01-13;2018-02-20;2018-03-19;2018;6047.64;6047.64
S00129487;TTG;2018-01-13;2018-01-15;2018-01-29;2018;10498.7;10498.7
S00129503;TTG;2018-01-13;2018-01-13;2018-01-27;2018;205.0;205.0
S00129517;TTG;2018-01-13;2018-01-14;2018-02-11;2018;277.08;277.08
S00129536;TTG;2018-01-13;2018-01-15;;2018;0.0;1600.0
S00129536;TTG;2018-01-13;2018-01-15;2019-01-18;2019;7033.1;7033.1
S00129551;TTG;2018-01-13;2018-01-13;2018-05-08;2018;3485.96;3485.96
S00129563;TTG;2018-01-13;2018-01-30;2018-02-26;2018;572.8;572.8
S00129582;TTG;2018-01-13;2018-01-22;2018-02-12;2018;1586.63;1586.63
S00129595;TTG;2018-01-13;2018-01-15;2018-01-15;2018;661.91;661.91
S00129606;TTG;2018-01-13;2018-01-16;2018-01-29;2018;1990.93;1990.93
S00129621;TTG;2018-01-13;2018-01-17;2018-02-01;2018;3504.4;3504.4
S00129640;TTG;2018-01-13;2018-01-14;2018-02-06;2018;495.31;495.31
S00129660;TTG;2018-01-13;2018-01-13;2018-07-24;2018;8506.22;8506.22
S00129683;TTG;2018-01-13;2018-01-21;2018-02-04;2018;4800.18;4800.18
S00129701;TTG;2018-01-13;2018-04-27;2018-10-16;2018;633.78;633.78
S00129717;TTG;2018-01-14;2018-01-24;2018-06-29;2018;2471.15;2471.15
S00129731;TTG;2018-01-14;2018-01-14;2018-04-24;2018;1852.12;1852.12
S00129748;TTG;2018-01-14;2018-01-14;2018-04-18;2018;1202.59;1202.59
S00129761;TTG;2018-01-14;2018-01-14;2018-09-22;2018;888.35;888.35
S00129772;TTG;2018-01-14;2018-01-14;2018-02-06;2018;1081.46;1081.46
S00129788;TTG;2018-01-14;2018-01-16;2018-06-29;2018;1997.13;1997.13
S00129804;TTG;2018-01-14;2018-01-15;2018-08-02;2018;942.97;942.97
S00129829;TTG;2018-01-14;2018-01-17;2018-04-16;2018;1254.21;1254.21
S00129846;TTG;2018-01-14;2018-01-14;2018-02-08;2018;7782.24;7782.24
S00129866;TTG;2018-01-14;2018-01-19;2018-01-19;2018;27095.83;27095.83
S00129882;TTG;2018-01-14;2018-01-22;2018-07-16;2018;5850.99;5850.99
S00129903;TTG;2018-01-14;2018-01-14;2018-03-07;2018;663.07;663.07
S00129928;TTG;2018-01-14;2018-01-14;2018-04-13;2018;464.05;464.05
S00129949;TTG;2018-01-15;2018-01-24;2018-02-24;2018;8963.25;8963.25
S00129971;TTG;2018-01-15;2018-01-27;2018-02-09;2018;6425.97;6425.97
S00129981;TTG;2018-01-15;2018-01-19;2018-05-15;2018;1762.25;1762.25
S00129988;TTG;2018-01-15;2018-01-15;2018-05-24;2018;2480.09;2480.09
S00130008;TTG;2018-01-15;2018-01-16;2018-05-31;2018;0.0;0.0
S00130025;TTG;2018-01-15;2018-01-20;2018-03-30;2018;10610.39;10610.39
S00130042;TTG;2018-01-15;2018-01-17;2018-02-06;2018;2207.63;2207.63
S00130061;TTG;2018-01-15;2018-01-18;2018-04-01;2018;654.42;654.42
S00130077;TTG;2018-01-15;2018-01-15;2018-04-08;2018;0.0;0.0
S00130095;TTG;2018-01-15;2018-01-15;2018-01-29;2018;2617.03;2617.03
S00130122;TTG;2018-01-15;2018-01-15;2018-05-09;2018;2144.42;2144.42
S00130133;TTG;2018-01-15;2018-01-15;2018-02-06;2018;0.0;0.0
S00130152;TTG;2018-01-15;2018-01-26;2018-02-09;2018;1449.83;1449.83
S00130173;TTG;2018-01-15;2018-01-31;2018-01-31;2018;1483.29;1483.29
S00130187;TTG;2018-01-15;2018-01-16;2018-02-06;2018;0.0;0.0
S00130202;TTG;2018-01-15;2018-01-16;2018-05-01;2018;1221.76;1221.76
S00130228;TTG;2018-01-15;2018-01-15;2018-05-12;2018;12593.08;12593.08
S00130249;TTG;2018-01-15;2018-01-16;2018-02-06;2018;5117.68;5117.68
S00130262;TTG;2018-01-15;2018-01-15;2018-02-25;2018;0.0;0.0
S00130279;TTG;2018-01-15;2018-03-04;2018-04-24;2018;2137.02;2137.02
S00130295;TTG;2018-01-15;2018-02-23;2018-08-25;2018;205.0;205.0
S00130313;TTG;2018-01-15;2018-01-15;2018-02-04;2018;1677.8;1677.8
S00130335;TTG;2018-01-15;2018-01-20;2018-03-14;2018;2157.75;2157.75
S00130352;TTG;2018-01-15;2018-01-15;2018-01-29;2018;806.36;806.36
S00130371;TTG;2018-01-15;2018-01-21;2018-02-09;2018;3707.95;3707.95
S00130389;TTG;2018-01-15;2018-01-16;2018-04-28;2018;0.0;0.0
S00130406;TTG;2018-01-15;2018-01-15;2018-03-09;2018;1653.04;1653.04
S00130425;TTG;2018-01-15;2018-01-16;2018-03-07;2018;4933.48;4933.48
S00130440;TTG;2018-01-15;2018-07-28;2018-08-12;2018;0.0;0.0
S00130457;TTG;2018-01-16;2018-01-16;2018-01-27;2018;15376.25;15376.25
S00130474;TTG;2018-01-16;2018-01-20;2018-03-03;2018;3051.65;3051.65
S00130485;TTG;2018-01-16;2018-01-19;2018-02-11;2018;8837.65;8837.65
S00130495;TTG;2018-01-16;2018-01-16;2018-02-24;2018;1069.9;1069.9
S00130519;TTG;2018-01-16;2018-01-18;2018-03-05;2018;4950.72;4950.72
S00130536;TTG;2018-01-16;2018-01-16;2018-02-10;2018;1766.79;1766.79
S00130553;TTG;2018-01-16;2018-01-18;2018-03-16;2018;2105.67;2105.67
S00130575;TTG;2018-01-16;2018-01-19;2018-03-21;2018;4671.69;4671.69
S00130594;TTG;2018-01-16;2018-02-10;2018-03-27;2018;4221.07;4221.07
S00130612;TTG;2018-01-16;2018-01-16;2018-04-03;2018;392.86;392.86
S00130630;TTG;2018-01-16;2018-01-19;2018-02-16;2018;2932.94;2932.94
S00130646;TTG;2018-01-16;2018-01-16;2018-02-05;2018;2094.25;2094.25
S00130662;TTG;2018-01-16;2018-01-18;2018-04-05;2018;482.58;482.58
S00130680;TTG;2018-01-16;2018-01-16;2018-02-28;2018;16445.83;16445.83
S00130690;TTG;2018-01-16;2018-01-19;2018-02-23;2018;2533.43;2533.43
S00130708;TTG;2018-01-17;2018-01-17;2018-03-18;2018;2145.19;2145.19
S00130727;TTG;2018-01-17;2018-03-03;2018-07-01;2018;253.77;253.77
S00130742;TTG;2018-01-17;2018-01-30;2018-04-27;2018;3909.91;3909.91
S00130758;TTG;2018-01-17;2018-01-18;2018-05-19;2018;360.76;360.76
S00130777;TTG;2018-01-17;2018-01-21;2018-03-03;2018;2097.01;2097.01
S00130790;TTG;2018-01-17;2018-01-26;2018-02-10;2018;4146.91;4146.91
S00130809;TTG;2018-01-17;2018-01-20;2018-04-22;2018;0.0;0.0
S00130823;TTG;2018-01-17;2018-02-22;2018-03-13;2018;1323.72;1323.72
S00130842;TTG;2018-01-17;2018-01-17;2018-07-08;2018;2087.46;2087.46
S00130863;TTG;2018-01-17;2018-01-23;2018-05-03;2018;0.0;0.0
S00130874;TTG;2018-01-17;2018-01-17;2018-01-17;2018;2702.88;2702.88
S00130898;TTG;2018-01-17;2018-01-17;2018-08-14;2018;14892.97;14892.97
S00130917;TTG;2018-01-17;2018-01-17;2018-05-05;2018;1103.16;1103.16
S00130935;TTG;2018-01-17;2018-02-14;2018-02-21;2018;2956.99;2956.99
S00130954;TTG;2018-01-17;2018-01-17;2018-09-19;2018;3388.73;3388.73
S00130966;TTG;2018-01-17;2018-01-18;2018-03-05;2018;8242.99;8242.99
S00130981;TTG;2018-01-17;2018-01-18;2018-02-13;2018;1707.5;1707.5
S00131001;TTG;2018-01-17;2018-01-18;2018-07-24;2018;2230.3;2230.3
S00131023;TTG;2018-01-17;2018-01-20;2018-05-22;2018;4946.57;4946.57
S00131041;TTG;2018-01-17;2018-01-18;2018-02-13;2018;4441.64;4441.64
S00131055;TTG;2018-01-17;2018-01-18;2018-04-06;2018;3580.5;3580.5
S00131062;TTG;2018-01-17;2018-02-06;2018-06-02;2018;0.0;0.0
S00131081;TTG;2018-01-18;2018-01-23;2018-08-29;2018;580.06;580.06
